,utt,intent,index
605,"i'd like to get some more checkbooks mailed to me, if i can",order_checks,121
606,i need to order new checks,order_checks,121
607,i'd love to order some more checks for my checking account,order_checks,121
608,is it possible to get more checkbooks for my wells fargo checkings,order_checks,121
609,can i get new checks to replace the ones we ran out of,order_checks,121
610,what was the total i spent at home depot last month,spending_history,122
611,how much have i paid in medical expenses recently,spending_history,122
612,did i go out to eat more than usual,spending_history,122
613,how much did i spend on christmas gifts in december,spending_history,122
614,could you tell me how much money i spent last week,spending_history,122
615,i'm afraid there is a false transaction on my account,report_fraud,123
616,how do i let visa know about a charge i didn't make,report_fraud,123
617,there are some questionable charges on my card,report_fraud,123
618,i need to report a fraudulent transaction from postmates on my account,report_fraud,123
619,i have charges on my amex card i didn't make,report_fraud,123
620,closest auto parts store to find replace for dead car battery,jump_start,124
621,can you tell me how to jump a car,jump_start,124
622,how do i jump my car,jump_start,124
623,tell me how to jump start my own car battery,jump_start,124
624,what is the procedure to jump start a car,jump_start,124
625,"no, don't do that",no,125
626,that is not correct,no,125
627,"no, that can't be right",no,125
628,what you just said is wrong,no,125
629,that's a negative,no,125
630,you were built by who,who_made_you,126
631,what's your design company,who_made_you,126
632,tell me what company programmed you,who_made_you,126
633,what company owns your code,who_made_you,126
634,who made the ai,who_made_you,126
635,what is my credit card interest rate,interest_rate,127
636,how can i figure out my interest rate for my umpqua account,interest_rate,127
637,what is the interest rate i am receiving from the start of the year,interest_rate,127
638,what is the best interest rate i can get from now on,interest_rate,127
639,can you tell me my current interest rate,interest_rate,127
640,i think my card is stolen and needs to be reported,report_lost_card,128
641,"i'd like to report my card as stolen, please",report_lost_card,128
642,someone stole my mastercade,report_lost_card,128
643,"oh no, report my card, it's stolen",report_lost_card,128
644,i need to report a lost card,report_lost_card,128
645,is there any transaction fees on my citibank card if used in spain,international_fees,129
646,does my bank of america card have international transaction fees,international_fees,129
647,"what, if any, are the charges for using my card in mexico",international_fees,129
648,do you charge me if i use my card in japan,international_fees,129
649,are there international transaction fees for using my chase card,international_fees,129
650,i need more information about my income,income,130
651,give me the details on my income,income,130
652,what's my income been for the last 6 months,income,130
653,what is the total amount of my paychecks over the last year,income,130
654,tell me how much money i'm earning at my job,income,130
655,can you please repeat my list back to me,reminder,131
656,tell me what is on my reminder list,reminder,131
657,will you repeat my reminder list,reminder,131
658,let me know what's on my list of reminders,reminder,131
659,read my reminders to me,reminder,131
660,can you speed up your speech please,change_speed,132
661,slow the speech down,change_speed,132
662,speak at a slower rate,change_speed,132
663,whoa whoa please slow down,change_speed,132
664,speak slower,change_speed,132
665,i'd like to redeem my credit card points,redeem_rewards,133
666,i have a lot of points saved up from my credit card rewards but don't know how to redeem them,redeem_rewards,133
667,"if i want to cash in my american express rewards, how do i do that",redeem_rewards,133
668,how do i get cash back for the rewards on my amex card,redeem_rewards,133
669,help me figure out redemption of my credit card points,redeem_rewards,133
670,talk to me in italian from now on,change_language,134
671,answer me in french,change_language,134
672,"i would like to have language set to spanish, please",change_language,134
673,can you speak to me in french,change_language,134
674,can you change your language to japanese,change_language,134
675,what were my purchases on visa card last month,transactions,135
676,can you check on a transaction for me,transactions,135
677,help me get access to my recent transaction history,transactions,135
678,what did i spend at target on my barclays card last month,transactions,135
679,what was my last transaction,transactions,135
680,make an appointment to check my tires,schedule_maintenance,136
681,my car needs maintenance scheduled,schedule_maintenance,136
682,i want to schedule a tire check up somewhere,schedule_maintenance,136
683,i'd like to get an appointment to get my oil changed,schedule_maintenance,136
684,i need help cause my check engine light came on,schedule_maintenance,136
685,please tell me what date it is today,date,137
686,today's date is what,date,137
687,tell me what date it is please,date,137
688,i would like to know tomorrow's date,date,137
689,i'd like to know the date tomorrow,date,137
690,tell me my usage of vacation days,pto_used,138
691,how many times did i take a day off,pto_used,138
692,how much paid time off have i used,pto_used,138
693,"up to this point, how much of my pto have i used",pto_used,138
694,how many of my sick days have i gone through,pto_used,138
695,how do you spell tomato,spelling,139
696,how do you spell antipathy,spelling,139
697,can you tell me how to spell manipulation,spelling,139
698,how do you spell verisimilitude,spelling,139
699,how do you spell mississippi,spelling,139
700,can you tell me life's meaning,meaning_of_life,140
701,why do you think we're here,meaning_of_life,140
702,what is the meaning of this life,meaning_of_life,140
703,whats the meaning of life,meaning_of_life,140
704,what makes life have any meaning,meaning_of_life,140
705,what time is my flight scheduled to leave,flight_status,141
706,give me the status of flight dl123,flight_status,141
707,when's my flight getting here,flight_status,141
708,can you tell me the status of my delta flight,flight_status,141
709,so when is my flight landing,flight_status,141
710,please let me know the credit limit on my citibank card,credit_limit,142
711,look up the credit limit for my visa,credit_limit,142
712,how high is my credit limit for my navy federal card,credit_limit,142
713,how high is my credit limit for my childrens place card,credit_limit,142
714,how much is my credit limit,credit_limit,142
715,i dunno,maybe,143
716,really dont know,maybe,143
717,possibly,maybe,143
718,either or should work,maybe,143
719,"no idea, sorry",maybe,143
720,i need an alarm for 6am,alarm,144
721,i need an alarm set,alarm,144
722,please set up an alarm to go off tomorrow at daybreak,alarm,144
723,put in an alarm for 5pm,alarm,144
724,i need an alarm set for 9 am and another for 11 am,alarm,144
725,show me my credit score please,credit_score,145
726,can i see my credit score,credit_score,145
727,is my credit score high,credit_score,145
728,clue me in on my credit score,credit_score,145
729,what's my credit score,credit_score,145
730,"see you later, alligator",goodbye,146
731,tootles,goodbye,146
732,it was enjoyable to chat with you,goodbye,146
733,it was pleasant having a conversation with you,goodbye,146
734,have a good one,goodbye,146
735,"what time is it in houston, tx",time,147
736,what time is it right now in paris,time,147
737,can you tell me the time,time,147
738,what is the time right now in the peruvian time zone,time,147
739,what is the exact time,time,147
740,"i'm out of cat food, order more",order,148
741,can you buy something from walmartcom for me,order,148
742,i want everything on my shopping list ordered,order,148
743,ran out of tissues and need you to put an order in for more asap,order,148
744,take my shopping list and order all,order,148
745,please see if you can increase my credit limit to one thousand dollars,credit_limit_change,149
746,can you increase how much i can spend on my visa,credit_limit_change,149
747,is there a way to increase the limit on my visa card,credit_limit_change,149
748,can i increase the credit limit on my kohls card,credit_limit_change,149
749,can i increase the credit limit for my bank of america card,credit_limit_change,149
